Referencia;Nome;Categoria;Preco;Imagem;Preco Final;Id Categoria;Ativo
P.16.0069.0059;Roletes (15x12) 5g, JOG 50 2 Tempos, 1E40QMB;  Roletes ;8,09;https://motoxpert.pt/web/image/product.template/2612/image?unique=23375b0;9,9507;30;1
P.16.0069.0057;Roletes (15x12) 5.5g, JOG 50 2 Tempos, 1E40QMB;  Roletes ;8,09;https://motoxpert.pt/web/image/product.template/2611/image?unique=cf6930a;9,9507;30;1
P.16.0069.0062;Roletes 20X12 14gr LINHAI  ATV300;  Roletes ;12,2;https://motoxpert.pt/web/image/product.template/2610/image?unique=6b2464d;15,006;30;1
P.22.0096;Pinhao de ataque 530H 20mm (12D), ATV250   ;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/2546/image?unique=d0c8a04;7,995;30;1
P.22.0015;Pinhao de Ataque 420H / 17mm (13D), ATV90/ATV110;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/2487/image?unique=d0c8a04;7,995;30;1
;Roletos (18x14) GY6 125, 152QMI;  Roletes ;8,09;https://motoxpert.pt/web/image/product.template/2147/image?unique=b435aef;9,9507;30;1
P4615;Pinhao de Ataque 428H / 17mm (18D), PITBIKE;  Roletes ;12,2;https://motoxpert.pt/web/image/product.template/7225/image?unique=0e39c4b;15,006;30;1
P1191;Pinhao de Ataque ANTI-LAMA 420H (diam 17), 13 Dentes ;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5654/image?unique=bf0b452;7,995;30;1
P1190;Pinhao de Ataque ANTI-LAMA 420H (diam 17), 14 Dentes ;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5653/image?unique=82d0e64;7,995;30;1
P1189;Pinhao de Ataque ANTI-LAMA 420H (diam 17), 15 Dentes ;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5652/image?unique=48c9bba;7,995;30;1
P1186;Pinhao de Ataque ANTI-LAMA 420H (diam 17), 16 Dentes ;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5651/image?unique=9b8efd8;7,995;30;1
P1188;Pinhao de Ataque ANTI-LAMA 420H (diam 17), 17 Dentes;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5650/image?unique=fabb52e;7,995;30;1
P1182;Pinhao de Ataque 428H / 17mm (14D), 125/140cc CROSS;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5649/image?unique=9823762;7,995;30;1
P1181;Pinhao de Ataque 428H / 17mm (13D), 125/140cc CROSS ;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5647/image?unique=2d836b9;7,995;30;1
P.22.0156;Pinhao de Ataque 428H / 17mm (15D), ATV90/ATV110;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/3202/image?unique=15c7206;7,995;30;1
P.22.0158;Freio do Pinhao de Ataque (17mm), ATV90/110;  Roletes ;4,88;https://motoxpert.pt/web/image/product.template/3207/image?unique=3d122ea;6,0024;30;1
27511QK01020-15T;Pinhão de Ataque 428H (15T) - OEM BULLIT - K157FMI;  Roletes ;15,45;https://motoxpert.pt/web/image/product.template/9550/image?unique=9ea76eb;19,0035;30;1
P5401;Pinhão de Ataque 428H (16T) - aFTERMARKET - K157FMI;  Roletes ;20,28;https://motoxpert.pt/web/image/product.template/8286/image?unique=6fe0e07;24,9444;30;1
P5802;Casquilho Veio Pinhão de Ataque, K157FMI, GN125;  Roletes ;11,06;https://motoxpert.pt/web/image/product.template/8716/image?unique=e8259f8;13,6038;30;1
P.16.0203;Pinhao de ataque 25H / 6 Dentes (completo, SEM PROTEÇÃO), MINIMOTO 47cc-49cc;  Roletes ;16,26;https://motoxpert.pt/web/image/product.template/2126/image?unique=bf04e0a;19,9998;30;1
125-F1123;Porca 27mm, do Pinhão de Ataque, K157FMI;  Roletes ;4,88;https://motoxpert.pt/web/image/product.template/8461/image?unique=4f45a33;6,0024;30;1
125-F1122;Anilha de Freio do Pinhão de Ataque, K157FMI;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/8462/image?unique=35c39df;7,995;30;1
P.22.0005;Freio Pinhao de Ataque (20mm), 125/140cc;  Roletes ;4,88;https://motoxpert.pt/web/image/product.template/2206/image?unique=d0c8a04;6,0024;30;1
P.22.0007;Pinhao de Ataque 428H / 20mm (15D), PITBIKE / 156FMI;  Roletes ;11,38;https://motoxpert.pt/web/image/product.template/2201/image?unique=d0c8a04;13,9974;30;1
P482;Pinhao de Ataque 428H / 20mm (14D), 125/140cc CROSS;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/4295/image?unique=d0c8a04;7,995;30;1
P1183;Pinhao de ataque 520H 20mm (13D);  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5461/image?unique=d0c8a04;7,995;30;1
P1184;Pinhao de Ataque 520 20mm 14D, V-RAPTOR;  Roletes ;6,5;https://motoxpert.pt/web/image/product.template/5460/image?unique=deb998d;7,995;30;1
P1243;Roletes (25x22mm / 18g), CARTER GTR250 SYM 171MM ;  Roletes ;16,26;https://motoxpert.pt/web/image/product.template/5447/image?unique=8ae7db4;19,9998;30;1
P2379;Pinhao de Ataque, 17 Dentes (27 Estrias), 172MM (ATV UTV 250);  Roletes ;20,33;https://motoxpert.pt/web/image/product.template/6547/image?unique=03fbe45;25,0059;30;1
;Roletes (16x13), GY6 50, 139QMB;  Roletes ;9,76;https://motoxpert.pt/web/image/product.product/9436/image?unique=3a0092c;12,0048;30;1
P.16.0069.0054;Roletes (16x13) 4g, GY6 50, 139QMB;  Roletes ;8,09;https://motoxpert.pt/web/image/product.template/2144/image?unique=d0c8a04;9,9507;30;1
P1194;Pinhao de ataque T8F (Passo Grosso) / 6 Dentes (completo, SEM PROTEÇÃO), MINIMOTO 47cc-49cc;  Roletes ;16,26;https://motoxpert.pt/web/image/product.template/5109/image?unique=d0c8a04;19,9998;30;1
